time,open,high,low,close,Plot,Plot,Volume
1716969600,3819.99,3827.05,3781,3801.01,3768.3134934012087,3870.1109636983642,30086.0825
1716973200,3801.01,3817.38,3792.43,3805.61,3767.612181035432,3868.359312835448,16056.8829
1716976800,3805.62,3825.36,3803.01,3824.92,3771.145491393542,3870.9653428141,8796.8563
1716980400,3824.92,3828.88,3808.45,3811.16,3758.3276377687903,3856.8003703928007,9154.3171
1716984000,3811.15,3828.87,3794,3815.4,3765.2633238085964,3862.918441829444,13373.5215
1716987600,3815.41,3838.83,3780.2,3798.04,3763.1374443257464,3859.7488976674513,27445.1392
1716991200,3798.04,3802.94,3763.38,3778.21,3749.6372705787758,3844.927251861677,21685.8267
1716994800,3778.21,3799.56,3750.6,3759.85,3734.825316453397,3828.7778060086125,24697.4771
1716998400,3759.84,3770.58,3744.41,3764.36,3743.7996030505137,3837.02433973553,20925.5922
1717002000,3764.26,3780,3750.82,3766.2,3745.7451567236462,3838.074112544589,8709.9054
1717005600,3766.2,3769.75,3745.95,3758.28,3732.3388786928263,3823.40617422717,8110.9011
1717009200,3758.28,3772,3747.64,3749.66,3724.260132861799,3814.2106353084228,6699.1728
1717012800,3749.66,3759.82,3742.59,3753.6,3734.946491157775,3824.242227092009,10251.9968
1717016400,3753.61,3792.99,3749.2,3777.68,3746.3862620555756,3835.0492107345544,14024.4221
1717020000,3777.69,3789.79,3765.96,3779.34,3745.1169660491764,3832.8531642097723,8362.3483
1717023600,3779.34,3788.55,3763.93,3767.43,3743.153063711928,3829.9561843679453,7821.5046
1717027200,3767.44,3782.77,3751.9,3758,3737.625158456627,3823.423390343693,7176.3478
1717030800,3757.99,3778.33,3750.75,3775.55,3747.661731122473,3832.820294909307,7428.7478
1717034400,3775.55,3791.78,3775.18,3779.81,3754.0231384134613,3838.463628311125,9435.497
1717038000,3779.81,3797.79,3777.08,3791.31,3761.8938255322096,3845.6557577069757,6121.7816
1717041600,3791.3,3801.65,3780.55,3782.6,3763.0717520845246,3846.0127964675085,6081.6476
1717045200,3782.59,3786.51,3770.72,3784.61,3760.2211848584257,3842.2615771818587,5878.1356
1717048800,3784.6,3786,3734,3740.34,3740.1711622663065,3820.9492623158567,18295.2739
1717052400,3740.33,3755.55,3712.73,3720.32,3720.264945237783,3805.2799511303565,26708.0995
1717056000,3720.32,3737.5,3702.58,3735.8,3723.08317652116,3807.302167380838,17662.7947
1717059600,3735.8,3737.96,3717.76,3734.49,3723.867235539697,3807.252163991199,7873.4203
1717063200,3734.5,3743.61,3715,3741.53,3732.404646074303,3815.1357208713066,12695.3066
1717066800,3741.53,3757.25,3733.4,3737,3723.608247475074,3805.309928800926,11513.0328
1717070400,3737.01,3771.61,3733.39,3765.29,3739.839770737907,3821.0681069716875,14697.6229
1717074000,3765.29,3794.84,3760.48,3788.56,3765.4956959456026,3846.4546243323475,14724.4293
1717077600,3788.55,3798.97,3762,3767.2,3749.16548273142,3828.958652088734,13715.9634
1717081200,3767.19,3786.66,3756.12,3776.12,3756.7756985482706,3835.9228616991045,9151.905
1717084800,3776.12,3788.55,3769.81,3788.4,3763.580267793311,3842.069615331255,6800.7015
1717088400,3788.4,3825.35,3778.91,3811.92,3796.2358889044344,3874.6063925218577,17885.1196
1717092000,3811.92,3819.8,3794.16,3815.6,3796.2452952848885,3873.8242783062587,15295.1135
1717095600,3815.61,3816.5,3752.24,3762.01,3754.9009588192152,3830.8599386064257,17208.9158
1717099200,3762,3762.4,3719.3,3737.69,3737.643848698339,3821.5597261606945,16450.772
1717102800,3737.69,3755.97,3734.33,3751.36,3731.9355005729485,3814.8760289257907,4507.3176
1717106400,3751.37,3754.07,3744.16,3747.44,3724.1877329217673,3806.1192829161328,5119.8154
1717110000,3747.43,3751.99,3744.77,3747.91,3723.837026740559,3804.9327024472746,4606.5282
1717113600,3747.9,3753,3743.95,3752.74,3727.825371184278,3808.1873271545232,3990.5267
1717117200,3752.75,3766.35,3740.45,3748.49,3724.5105735663365,3803.9895996003106,6650.6278
1717120800,3748.49,3770,3746.5,3752.95,3729.0402853253195,3807.8118113564965,5789.749
1717124400,3752.95,3766.72,3752.94,3760.21,3728.589483860219,3806.55563250527,4128.8652
1717128000,3760.21,3766.55,3756.11,3762.61,3726.999859761118,3804.145374001159,3974.9284
1717131600,3762.6,3763.5,3735.02,3746.65,3722.0677825756493,3798.332879955957,6930.9797
1717135200,3746.64,3751,3735.4,3739.09,3712.143942710597,3787.4373694174064,6277.0059
1717138800,3739.09,3749.95,3724.41,3729.11,3705.650825415582,3780.512458252261,10434.3407
1717142400,3729.11,3743.62,3726.45,3735.21,3702.035287846804,3776.823879520477,7285.6892
1717146000,3735.21,3748.43,3730.01,3747.08,3691.717945403545,3766.2981059167478,6459.4048
1717149600,3747.09,3785.8,3747.08,3784.68,3713.4811542274992,3788.500975525025,17620.6299
1717153200,3784.68,3813.2,3779.5,3802.62,3705.9218201306257,3801.5082805655297,15341.8786
1717156800,3802.62,3849.94,3801.29,3825.08,3719.7424056269033,3823.8116137944826,31697.1399
1717160400,3825.07,3832.32,3781.35,3786.34,3691.720757497555,3793.9588349768924,20719.9951
1717164000,3786.34,3798.59,3757.99,3773.39,3656.4063185508094,3771.8765145621137,22409.6389
1717167600,3773.38,3777.59,3742.35,3744.77,3644.5086050222144,3758.4341347499367,14221.4837
1717171200,3744.77,3758.42,3723.75,3754.16,3648.4741764067494,3761.3655283739977,22972.6297
1717174800,3754.16,3770.74,3750.43,3768.16,3660.5179848596226,3772.6320118942176,8070.4107
1717178400,3768.16,3788.62,3764.02,3785.89,3665.582293997365,3784.3093059124726,13462.0592
1717182000,3785.89,3794.62,3775.1,3785.45,3684.3065909659986,3802.4276123733584,12105.5931
1717185600,3785.45,3800.94,3778.2,3794.56,3690.508277616098,3807.626155871047,5965.1538
1717189200,3794.56,3795.59,3779.93,3785.51,3687.4185310527882,3803.249778822051,9950.0125
1717192800,3785.51,3790.65,3767.36,3770.38,3688.6104218603973,3803.3024092440546,5125.4409
1717196400,3770.38,3774.14,3742,3762.29,3693.64281060993,3807.3251142644567,11822.5826
1717200000,3762.29,3768.66,3752.67,3764.15,3702.941176149982,3815.7526179737733,6432.9727
1717203600,3764.15,3776.19,3759.22,3766.79,3701.640976020301,3813.2680846683215,5351.1208
1717207200,3766.79,3779.36,3766,3777.79,3714.834311674566,3825.722310621799,3479.6136
